Text,Sent
@tea oh! i'm so sorry  i didn't think about that before retweeting.,Negative
Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,Negative
"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",Negative
our duck and chicken are taking wayyy too long to hatch ,Negative
"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",Negative
I need a hug ,Negative
"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",Negative
@oanhLove I hate when that happens... ,Negative
"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",Negative
Ugh....92 degrees tomorrow ,Negative
Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,Negative
"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",Negative
just leaving the parking lot of work! ,Negative
The Life is cool. But not for Me. ,Negative
"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",Negative
I had such a nice day. Too bad the rain comes in tomorrow at 5am ,Negative
@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,Negative
Damm back to school tomorrow ,Negative
"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",Negative
@katortiz  Not forever... See you soon!,Negative
"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",Negative
@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,Negative
@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,Negative
i really hate how people diss my bands!  Trace is clearly NOT ugly!,Negative
"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",Negative
Why won't you show my location?!   http://twitpic.com/2y2es,Negative
No picnic  my phone smells like citrus.,Negative
"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",Negative
No new csi tonight.  FML,Negative
i think my arms are sore from tennis ,Negative
wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,Negative
sleep soon... i just hate saying bye and see you tomorrow for the night. ,Negative
"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",Negative
missin' the boo ,Negative
@markhardy1974 Me too  #itm,Negative
Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,Negative
"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",Negative
@msdrama hey missed ya at the meeting  sup mama,Negative
"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",Negative
why is it always the fat ones?! ,Negative
"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",Negative
@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,Negative
wednesday my b-day! don't know what 2 do!! ,Negative
Poor cameron (the hills) ,Negative
"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",Negative
"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",Negative
Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,Negative
"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",Negative
"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",Negative
"@stark YOU don't follow me, either  and i work for you!",Negative
A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,Negative
 Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,Negative
"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",Negative
Behind on my classes for work ,Negative
watching &quot;House&quot; ,Negative
@kpreyes Remember my bum leg? Strikes back this time its serious ,Negative
"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls ",Negative
Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,Negative
would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,Negative
@Henkuyinepu it's overrated ,Negative
@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,Negative
laying in bed with no voice.. ,Negative
I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,Negative
@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,Negative
"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",Negative
@salancaster  hope your ok.,Negative
@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,Negative
@HibaNick yeah aw but i know i wudnt stand a chance ,Negative
ugh. cant sleep. its 1:30am. ,Negative
Hanging in Crooners. Wanna sing. Can't. Sucks. ,Negative
@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,Negative
Is pissed off that there's no ASBA's for a radio station. ,Negative
wednesday my b-day n don't know what 2 do!  ,Negative
I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,Negative
I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,Negative
"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",Negative
@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,Negative
"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",Negative
This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,Negative
I'm so cold ,Negative
@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,Negative
@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,Negative
Hoping the tummy rumbles go away soon ,Negative
"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",Negative
almost bedtime ,Negative
I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,Negative
Agh...snow!!! ,Negative
i miss kenny powers ,Negative
"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget ",Negative
"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. ",Negative
@JonathanRKnight I guess that's a no then. ,Negative
sadly is going to bed. ,Negative
@ozesteph1992 Shame to hear this Stephan ,Negative
@mrsaintnick hey! i'm leavin in the morning... ,Negative
"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left ",Negative
laid around too much today... now my head hurts ,Negative
@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,Negative
my nokia 1110 died..  ,Negative
My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,Negative
Going to sleep. Hoping tomorrow is a better day. ,Negative
@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,Negative
@onemoreproject that is lame ,Negative
I don't understand... I really don't ,Negative
HEROES just isn't doing it for me this season... ,Negative
Living not downtown sure isn't much fun.  ,Negative
@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!,Negative
Man Work is Hard ,Negative
"getting sick  time for some hot tea, studying, and then sleeeep",Negative
Getting eyebrows waxed. More pain ,Negative
No phantasy star yesterday  going to work...,Negative
Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well ,Negative
Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too ,Negative
is alone downstairs...working ,Negative
I feel bad for doing it ,Negative
"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. ",Negative
@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ,Negative
I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. ,Negative
Thanks for bursting my bubble ,Negative
Going to school soon... can't find anything to wear!! gosh it's so hard ,Negative
@marieclr I was serious  LOL,Negative
@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history,Negative
Crazy wind today = no birding  http://ff.im/1XTTi,Negative
currently at work.. ,Negative
Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. ,Negative
@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!,Negative
i don't see the big deal with this website ,Negative
@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail,Negative
@ColinDeMar Far too out of the way for rail.  any other tips?,Negative
I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.,Negative
"Today I realized I am too good at hiding things, even I can't find it ",Negative
"Staying at a friends house...house sitting, neighbors are SO loud-having a party ",Negative
is hangin with the love of my life. Tessa McCravy!! ,Positive
I've Got An Urge To Make Music Like Massively.. I'm Going To The Studio ,Positive
@lacrossehawty rofl uh huh ,Positive
"@fankri haha! thanks, Tiff   it went well, but they WORE ME OUT!!! lol. im too old for this ;)",Positive
@alyssaisntcool hahah  i loveeee him though.,Positive
@bunnydrumming Hi bunny! I recently have subcribed to your channel on YouTube! You make some great stuff. Kinda just wanted to say hi! ,Positive
Watching Gross Point Blank. ,Positive
@elliottp I'll follow anyone who is a sticker for usage. ,Positive
@CChiron Dude you rock ,Positive
"@cassfern yes. and it was REALLY good. even though i am not into sci fi i loved it. &amp; haha, i know. ",Positive
@douglasi TY for FF ,Positive
@brucehoult oh really? why HELLO there ,Positive
happy mother's day to your moms ,Positive
I'm likable after all HAHAHAHAHAHAHA! Still over the moon ,Positive
"Nice place to eat in sao paulo, brazil  http://twitgoo.com/28hh",Positive
enjoying my coffee with this super delicious cookie ,Positive
"@JulieAbel I am in Weirton Julie, way up North at the tippy top! LOL we don't think southern WV folks like us too much.   ",Positive
"@petrilude OMG, you have curly hair! Too cute! ",Positive
awww i bought my mom the cutest things for mothers day  woop woop mee expert shoper,Positive
Hello to all my new followers..    say hi @ me so i can say its nice to meet you too!,Positive
watching supernatural  those boys can hunt me any day &lt;3 haha,Positive
@ddlovato hi ya demi! im glad ur back   http://twitpic.com/4vuuy i personally love the picture! haha,Positive
Finally home sweet home ,Positive
@grabrielRossi which one? On Sportv ? Will connect righ the way ,Positive
"@maryjanewatson I'm trying my dang hardest to not watch the movie again until I finish the book, again. ",Positive
the last song all american rejects.......... an amazing song ,Positive
@Linz__marie lol..french toast sticks too! ,Positive
check out q100 right now..99.7 ,Positive
@MamiTica what‹¨«s hot and new? ,Positive
@kerrisnead FOR REAL!  Isn't it exciting!!!! ,Positive
@ppittman you are not old!!! You're  just comfy! Like worn in sweats! Said with all the love my sarcastic heart can muster....   ,Positive
"at the farm not enjoying cary ann, but loving the company! ",Positive
http://twitpic.com/4w70j - Left: This is your brain. Right: This is your brain on drugs. ,Positive
chilin with my little brotherrrr  oday was amazing xP,Positive
@SECTORLI: just had my debut on Thursday @ The Gallery Lounge! It was fun... can't wait to do the next one!!  ,Positive
goin out wit shina &amp; gigi . moviez ,Positive
"@dcastellani yes, yes it was ",Positive
@SusanCrenshaw Uh oh!  Hope nothing too damaged.  ,Positive
is #6 seed in regionals!! ,Positive
Dfizzy if you ever read this Uh i got one question for you ^^ Would you ever date a fan?  Lmao!,Positive
listening to ECHO by Gorilla Zoe ahh love that song ,Positive
"Today Dan bought me Bio Dome AND the Reality Bites Soundtrack! Needless to say he gets MAYJAH points!  Also, my tummy is not happy. Boo.",Positive
"Perth - Ford - Falcon - 1997 - $3,500  - new ad received and will be posted on the HCC site soon ",Positive
@corkyloowho i will ,Positive
@AnnCurry those photos are lovely! Who knew you were as talented a photographer as you are a journalist! ,Positive
@shadrach I'm just following you because we're both wearing Converse ,Positive
"having a creative party with me, myself, and moi ",Positive
@char_anderson hehe   fun tweets !,Positive
@ikovannoy seperate = Yum. Together = gross sounding. ,Positive
@shakeitblueyes good ,Positive
@rachael_kearley That's Twitter for you.  ,Positive
Babysitting. Text me and keep me company ,Positive
Massive morning.. I'm stuffed now ,Positive
@rsxy ive been spending time w/my momma! we're celebrating mother's day for her early  ive been good! how was woodburn?,Positive
I'm ACTUALLY on Skype but ssshh don't tell anyone. ,Positive
nachos and the tudors? i think so ,Positive
Downing a glass of ginger ale and then relishing an early evening in bed with &quot;Because I Said So&quot; on Lifetime.  ,Positive
"Yeah, I think we've earned it!  ",Positive
Chillin out at home enjoying my new house... I must say I love it!!!  Hope your all having a great day!!!,Positive
@mommyof3_angels Self-confidence is the first requisite to great undertakings-seems like u r on right track-keep reminding me to follow u ,Positive
"wow are you serious, another draw for the chicago fire, that's 5 in a row. well at least they're not losing game but we need a win soon ",Positive
"bout to have dinner with the Homies. T.G.I Fridays takout, headed bak to the spot. ",Positive
"@yourself_onfire I think Letitia is still trying to upload the digital, they were having problems before. I am sure she will let us know ",Positive
The Eagles make saturday nights so much better. ,Positive
So the movie was 3-D and really gooood ,Positive
@davemark welcome to the last two years for Flyers fans ,Positive
"Going to bed early... got a lot of important women to visit for Mothers Day tomorrow! PS- As of midnight tonight, HAPPY BDAY BOO BEAR! ",Positive
"says good morning everyone! Once again, a happy mother's day to all the mothers out there!  I hope you all h... http://plurk.com/p/stq3f",Positive
@mileycyrus airsoft is so much fun! i play with my brothers and it's a great bonding experience. ,Positive
@musicdotcom model on a pink motorcycle ,Positive
@GregCarter I hear ya. You'll have to go back to work to rest.  ,Positive
http://twitpic.com/4w7d2 bwahahahahahaha I am so awesome ,Positive
@GericaQuinn Yay  I Feel Loved  By You And My 113 Creepy Followers.,Positive
Wedding.. ,Positive
MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND ,Positive
@ClawdiaClawdia hey you weirdo! haha jk! I love you! ,Positive
@SalioElSol08 Haha most def ^__^ Rob a bank with me so i could get all the swedish fishes in the world ,Positive
Chillin at a bbq gettin my drink on ,Positive
at the taste a addison w/ her fav. ppl ,Positive
@akoyamiazaki #steel toe boots - Good to hear that you're comfy. Hopefully they are Kodiak or Terra brand ,Positive
LMAO Twitting... thats never gonna get old haha! ,Positive
"'Don't call your mother, 'cause now we're partners in crime.' -KP ",Positive
lmfaoooo i fucking love this showwwww ,Positive
Nice PC Authority review of the Tivo VOD service here: http://bit.ly/Ps7y2  I'm still loving my Tivo ,Positive
@marqueA2 Amazing.  Thereby proving we cannot believe anything we see ,Positive
"@timhaines making a 1 minute animation  a dramatic tragic story~. 2 characters, no dialogue. emotion with movement and setting/lighting",Positive
"@bunnymousekitt hahaha, yes, our discussions always seem to jump around randomly ",Positive
@PRGabbi AWW thanks hopefully it is ,Positive
@columbushort Follow Me ,Positive
Is with our dog at the doggy park! ,Positive
"happy mothers day. @jadeeisabel oh and no i havent read it yet, will do now ",Positive
OH EMM GEE!! QUEBEC IN 16 DAYS. I AM SO EXCITED. ,Positive
"Ha. J perfect timing on that message, the cure just came on ",Positive
"@beilaq_sodmq ayee, watcha up to ? ",Positive
"@teemwilliams Michelle, @tamronhall is on here. Don't u miss her being on Fox? I liked your interviews with her. ",Positive
"@xstaylor LOL!  Considering the recent debate on DL, I'm not touching the bad boy thing.  I like the logical ones. ",Positive
@tracekase GO TO BED!!! ,Positive
gosh! i'm freakin' bored! talk to me! ,Positive
@JoyofZen haha. so you are actually doing some cleaning! good actual work! ,Positive
shawty next to me like hella good oowwwww ,Positive
watching Star Trek and next to watch it at the movie theater 'cause the movie is really worth it... ,Positive
Got moommy somn special for mothers day ,Positive
k might take long then a minute then ,Positive
@khalen it was good. Next time you get oohed you know where to go! ,Positive
@dhgarske ha. nothing any man does is right on mothers day except for taking kids off mum's hands for whole day ,Positive
@heidimontag my saturday was good  i cannot wait until this monday night ,Positive
"@buckhollywood did you go to uga? If so, I liked you better before I knew! Ha! ",Positive
iii loove davedays       ,Positive
@TaeJun stellar  happy ma's day to them,Positive
"@aprilyim @nesarajah he's hard to please, methinks he has the picture in his head just fine ",Positive
is lets chat ,Positive
Got some beautiful flowers and a mag subscription for Mother's Day  Spoilt! &lt;3,Positive
@isabellacane Thanks! I was gonna make a joke and say they look just like mine!  ,Positive
@ihatecrayons http://twitpic.com/4w75p - I like it!! ,Positive
Working on several book projects that are due to be released within the next few months.  I need an extra pair of hands!  It's all good...,Positive
@harleyfatboy88b you're welcome ,Positive
"I have lived through our band's first performance, and it was pretty damn fun. ",Positive
Watching Oceans 11 in Vegas - seems so appropriate ,Positive
Had a nice dinner with the hubby and now on our way home  45 min drive out of the city. *sigh*,Positive
@donutpower ... Kirby playing mario kart? ... Umm ... Donut? Are you sure you're in the right mindset? ,Positive
"Thinking about my mother, and all the amazing mothers I know ",Positive
@victor_go you sure ? ,Positive
AK tonight with the lady and friends ,Positive
is tired but happy the orphanage was wow.. and babysitting was really fun ,Positive
is off to Tagaytay with the family! Happy Mum's Day to all you hot momma's ,Positive
@deanlusk I love catching people singing in their cars. Even better if they're dancing ,Positive
is ready for summer!!! ,Positive
"Watching water boy  about to grub on some carnisada. Yum,Yum!!",Positive
Going to the grocery store with my Best Friend ,Positive
@car4dave lol thanks! ,Positive
@couponprincess Yes!!!! you me @brandyellen and @mkdb won the 4 that were given away    #sigjeans,Positive
tired as hell!!!! bed time from cara  nighty night twitter world..,Positive
Sitting waiting for dough to rise. There's something about it that calms me down. Maybe the knowledge that I'll have cinnamon rolls soon  ,Positive
@zactak I know!  I loved it.  ,Positive
"@sethsimonds well, my question is on your blog post ",Positive
Watching superbad with brit ,Positive
@kiwi_kikireestl nooo. you were on my yahoo account. hmm. i wanna say b2k days. idk fo'sho ,Positive
"@davekennedy Wow, you might be countering the Benedryl with your enthusiasm. ",Positive
"right now, im on the Internet Cafe ",Positive
"@MedBotJinx #TFARP *takes a moment to translate, then nods* You're quite welcome.  Also, dear, it's probably best if you stay here again-",Positive
@sethsimonds  Re: chocolate thing,Positive
@limheeian iPhone is awesome man!! Time to join the Apple cult!! ,Positive
on my way homee  i love long car rides&lt;3,Positive
Why is @MRCRISIS scared or @Mskatrina25 lmao.. Someone pls tell me!! ,Positive
"We just crossed into the golden state, its nice being home ",Positive
@fatbellybella lol cute.  BTW Happy Mother's Day lady ,Positive
@TheSpencerSmith I'm part of a religion called People-With-Good-Taste-In-Music. We don't celebrate Jonas Brothers Day. ,Positive
@Ep31 eh...I might drive through Chi-town on my way to Colorado....maybe I'll get one then. ,Positive
Did anyone go photographing today? I managed to get a few macro shots of some flowers that were blooming ,Positive
just downloaded more music and videos on my ipod. ,Positive
@karramandi Where r u Yvonne?? Haven't seen u in the google groups in a day or so. Miss ya. ,Positive
"@deekgeek Awwwwwww. You two are the cutest.  And gods, I LOVE your hair. ",Positive
"@tatumeubanks I think you were dreaming that!  However, my memory does suck so maybe not ",Positive
@ShannonElizab dont ya know? people love the human society ,Positive
@sparrowstudio They turned out great! And I had a killer workout before-hand so no guilt ,Positive
Found out earlier today that I'm going to be an Uncle ,Positive
Operation Mischevious (Pinwheel) to commence in 25 min... lol  waiting on Ed to show up ,Positive
@miizronnie aha speaking German  haha maybe i should send some stuff in Italian ;),Positive
just doin some jammin ,Positive
"right n0w, im on my bed  egotastic r0cks!hahaha..",Positive
@davedays GAH! I got some of your songs off itunes  I'm so happy! They're SO AWESOME!!! keep it up!,Positive
@TasteMyInk most likelyy. Just need to save the money and practice my ass off. ,Positive
is almost over the legal limit of db at the garage. ,Positive
I make delicious pasta ,Positive
@imjstsayin lol  damn...I love those things too ,Positive
@ginaxmarie  but that is the only logical reason why you'd get hollered at 3x in the past hour. but what is dnw?,Positive
Im kinda bored anyone else I think ill listen to some hip hop its pretty good you should check it out www.bseresults.net ,Positive
flashlight tag!  i love playing games in the dark.,Positive
Wishing all the Mom's in the world a VERY HAPPY AND RELAXING MOTHERS DAY. May you get to spend the day with your feet up being pampered ,Positive
relaxing...enjoying the evening ,Positive
@JusticeJuice  That's alright. Add your egg and maybe some sort of leftover meat and it's not so bad &lt;3,Positive
just got done washing dishes not too long ago ,Positive
"@nimbupani Divya, thnx a lot. Bt IMO it won't resolve the renaming prob? Let me know.  Now if only #apple would act upon my feedback.",Positive
tomorrow's mother's day  me n my sis gonna make an onigiri for our mom~!! its gonna be so kewl!! cant wait for tomorrow &gt;_&lt;,Positive
@MandyyJirouxx Oohh Yaay like it !  ?    Love ya,Positive
"@inesperado Glad to hear you'll have your 1st tournament soon. As KSN says, &quot;We need more practice!&quot;  ",Positive
I learned the Hoedown Throwdown! ,Positive
I got the new Silverstein CD. aha. Its AMAZING.  I highly recomend it.,Positive
"OOOH,  i have a question for you all. DOES YOUR CHAIN HANG LOW?  idk! sorry! ",Positive
NGH episode 28 is out! check it out! ,Positive
